country,country_code,AFRO_block,n_districts,n_rounds,avg_coverage
ALG,DZA,WA,378,1795,96.18674227351107
ANG,ANG,Other,355,2888,88.40881809787628
BEN,BEN,WA,101,784,93.8188775510204
BFA,BFA,WA,71,857,98.10774017891872
BUI,BUI,Other,49,441,94.55782312925169
BWA,BWA,ESA,27,108,89.10493827160494
CAE,CMR,LCB,204,6408,92.16879198620772
CHD,TCD,LCB,180,3756,93.4746183883564
CIV,CIV,WA,125,907,95.69937522969497
COG,COG,ECA,52,361,88.28624192059095
ETH,ETH,ESA,209,508,95.77532868337093
Ethiopia,Ethiopia,Other,86,215,94.45736434108527
GAM,GAM,Other,42,168,95.2876984126984
GHA,GHA,WA,267,2961,93.12934524351364
GNB,GNB,WA,22,86,95.96899224806201
GUI,GUI,Other,38,330,91.91919191919192
KEN,KEN,ESA,143,1003,93.61249584579593
LIB,LIB,Other,196,653,95.31087289433384
MAL,MAL,Other,110,347,95.12632084534101
MAU,MAU,Other,142,507,81.4707429322814
MDG,MDG,ESA,228,1556,95.05161280450484
MLW,MLW,Other,29,356,90.880149812734075
MOZ,MOZ,ESA,172,1452,92.07828282828284
NAM,NAM,ESA,36,41,89.95934959349593
NIE,NIE,Other,767,8961,97.17836456474475
NIG,NIG,Other,77,2123,97.01133840253011
RCA,RCA,Other,38,668,95.76397205588822
RDC,COD,DRC,519,4581,97.12540134560436
RWA,RWA,ESA,60,120,97.44444444444444
SEN,SEN,WA,158,316,90.34810126582279
SIL,SIL,Other,16,152,91.05263157894737
SSUD,SSUD,Other,67,285,Inf
TNZ,TNZ,Other,195,1360,97.6935590145149
TOGO,TOGO,Other,96,216,95.15376984126985
UGA,UGA,ESA,183,705,88.92860520094563
ZIM,ZIM,Other,76,1096,94.54905283281195
ZMB,ZMB,ESA,232,1622,95.97698314837649
NA,NA,Other,1,369,NA
