country,High,Moderate,Poor,Very_poor,high,moderate,poor,very poor,NA
ALG,166,29,28,10,1292,154,86,30,0
ANG,0,0,0,0,1584,558,434,312,0
BEN,0,0,0,0,520,134,104,26,0
BFA,0,0,0,0,801,36,12,8,0
BUI,108,23,12,4,216,46,24,8,0
BWA,34,8,6,6,34,8,6,6,0
CAE,0,0,0,0,4134,1143,798,333,0
CHD,0,0,0,0,2810,466,312,168,0
CIV,0,0,0,0,713,109,65,20,0
COG,0,0,0,0,187,65,69,40,0
ETH,0,0,0,0,289,117,53,49,0
Ethiopia,0,0,0,0,159,34,14,8,0
GAM,0,0,0,0,121,30,16,1,0
GHA,0,0,0,0,1862,591,406,102,0
GNB,34,6,2,1,34,6,2,1,0
GUI,0,0,0,0,219,43,52,16,0
KEN,0,0,0,0,647,180,154,22,0
LIB,246,26,30,20,246,26,30,29,0
MAL,0,0,0,0,277,28,25,17,0
MAU,102,39,54,58,102,39,54,59,0
MDG,592,72,68,45,592,72,68,47,0
MLW,97,34,36,7,103,36,36,7,0
MOZ,0,0,0,0,1016,178,154,104,0
NAM,0,0,0,0,21,7,11,2,0
NIE,0,0,0,0,7259,754,407,541,0
NIG,0,0,0,0,1878,144,67,34,0
RCA,0,0,0,0,504,90,44,30,0
RDC,0,0,0,0,3553,352,280,396,0
RWA,48,7,3,2,48,7,3,2,0
SEN,84,29,36,9,84,29,36,9,0
SIL,42,12,17,5,42,12,16,6,0
SSUD,0,0,0,0,130,77,55,23,0
TNZ,593,54,24,9,595,52,24,9,0
TOGO,72,8,9,11,92,10,11,3,0
UGA,0,0,0,0,337,176,143,49,0
ZIM,0,0,0,0,722,237,124,13,0
ZMB,626,96,75,13,626,96,75,15,0
NA,0,0,0,0,0,0,0,0,369
